Unicorn 13 65536 43 0.500000 2.000000 0 0 0 0 1.000000
Werewolf 3 4 -6 1.200000 1.000000 -25 -40 0 0 1.000000
Vampire 4 8 3 0.999552 3.000000 25 20 -10 3 2.500000
Drow 6 32 9 1.548600 100.000000 35 40 15 10 6.156000
Shape 11 4096 13 1.889222 1.728720 3 -24 -20 -40 1.000000
Highlander 5 16 -7 1.264770 2.500000 20 0 -40 0 3.000000
Ninja 8 128 3 1.400000 2.000000 30 -2 13 14 3.690000
Mage 2 2 0 1.000000 1.000000 0 0 0 45 1.000000
Golem 12 8192 7 1.000000 2.700000 75 75 0 0 1.620000
Moogle 14 1048576 6 2.976292 2.000000 0 39 60 48 4.000000
Monk 7 64 2 1.000000 1.000000 30 0 -60 0 1.000000
Demon 1 1 15 1.237600 1.000000 0 0 -25 -25 1.000000
Amazon 9 256 5 1.305000 6.000000 33 25 15 15 2.000000
Druid 17 16384 -7 1.000000 1.000000 0 0 50 50 2.000000
Lich 19 32802 0 1.000000 1.000000 0 0 40 40 4.000000
Jedi 10 2048 21 1.248000 7.200000 40 45 20 20 4.000000
END
